"","slno","name","rating"
"1","1","Suryakumar Yadav","863"
"2","2"," Mohammad Rizwan","842"
"3","3","Devon Conway","792"
"4","4"," Babar Azam","780"
"5","5","Aiden Markram","767"
"6","6","Dawid Malan","743"
"7","7","Glenn Phillips","703"
"8","8","Rilee Rossouw","689"
"9","9","Aaron Finch","687"
"10","10","Virat Kohli","638"
"11","11","Quinton de Kock","631"
"12","12","Pathum Nissanka","628"
"13","13"," Muhammad Waseem","626"
"14","14","Jos Buttler","617"
"15","15","Rohit Sharma","601"
"16","16","Reeza Hendricks","591"
"17","17","Martin Guptill","587"
"18","17","Rahmanullah Gurbaz","587"
"19","19","Brandon King","583"
"20","20","Nicholas Pooran","582"
"21","21","Lokesh Rahul","581"
"22","21","Finn Allen","581"
"23","23","Rassie van der Dussen","576"
"24","24","George Munsey","572"
"25","25","Hazratullah Zazai","561"
"26","26","Richard Berrington","558"
"27","27","Paul Stirling","553"
"28","28","David Miller","550"
"29","29","Bhanuka Rajapaksa","541"
"30","29","Kariyawasa Asalanka","541"
"31","31","Mitchell Marsh","531"
"32","32"," Najibullah Zadran","530"
"33","33","Ben Duckett","527"
"34","34"," Ishan Kishan","525"
"35","35","Tony Ura","519"
"36","36","Liton Liton Das","518"
"37","37","David Warner","517"
"38","38","Moeen Ali","515"
"39","39","Marcus Stoinis","514"
"40","40","Glenn Maxwell","507"
"41","41","Max O'Dowd","505"
"42","42"," Ibrahim Zadran","504"
"43","43","Kusal Mendis","500"
"44","43"," Hossain","500"
"45","45","Shreyas Iyer","498"
"46","46","Jason Roy","497"
"47","47","Kane Williamson","496"
"48","48","Daryl Mitchell","495"
"49","49","Navneet Dhaliwal","493"
"50","50","Andrew Balbirnie","487"
"51","51","Dasun Shanaka","485"
"52","52","Wesley Madhevere","483"
"53","53","Kushal Bhurtel","478"
"54","54","Mohammad Mohammad Nabi","476"
"55","55","Rovman Powell","475"
"56","56","Jonny Bairstow","468"
"57","56"," Iftikhar Ahmed","468"
"58","58","Dipendra Airee","466"
"59","59"," Shakib Al Hasan","465"
"60","59","Heinrich Klaasen","465"
"61","61"," Mahmudullah","461"
"62","62","Rayyan Pathan","458"
"63","62","Gerhard Erasmus","458"
"64","64","Matthew Wade","455"
"65","65"," Jatinder Singh","448"
"66","65","Mohammad Naim","448"
"67","67"," Zeeshan Maqsood","445"
"68","68","Harry Brook","444"
"69","69","Hardik Pandya","441"
"70","70","Alex Hales","440"
"71","70","Evin Lewis","440"
"72","70","Lorcan Tucker","440"
"73","73","Rishabh Pant","433"
"74","74","Kyle Mayers","431"
"75","75"," Shan Masood","425"
"76","76","Craig Williams","422"
"77","77","Liam Livingstone","416"
"78","78","Ben Cooper","415"
"79","78"," Fakhar Zaman","415"
"80","78"," Ali","415"
"81","81","Sean Williams","411"
"82","82","Calum MacLeod","410"
"83","83","J.J. Smit","409"
"84","84"," Usman Ghani","407"
"85","85"," Sikandar Raza","404"
"86","85","Matthew Cross","404"
"87","87","Dhananjaya de Silva","401"
"88","88"," Khan","398"
"89","89","Sese Bau","393"
"90","90","Chirag Suri","389"
"91","90","Stephan Baard","389"
"92","92","Jimmy Neesham","388"
"93","93","Vriitya Aravind","386"
"94","94","Craig Ervine","384"
"95","95","Harry Tector","378"
"96","96","Muhammad Usman","375"
"97","96","Ryan Burl","375"
"98","98","Shimron Hetmyer","374"
"99","99","Norman Vanua","371"
"100","100","Bas de Leede","370"
